movieCd,movieNm,audiAcc
20156554,물괴,696969
20153446,너의 결혼식,2719790
20188581,더 프레데터,117580
20189362,업그레이드,164081
20181942,맘마미아!2,2273536
20188342,바니부기: 드래곤 에그를 찾아서,8206
20186202,신과함께-인과 연,12259274
20177537,상류사회,756287
20179101,공작,4966175
20189261,어드리프트:우리가 함께한 바다,30382
20170670,목격자,2503889
20188446,양말요정 휴고의 대모험,10812
20184802,몬스터 호텔 3,1046211
20187647,나를 차버린 스파이,223617
20139221,그래비티,3255329
20181181,미션 임파서블: 폴아웃,6511064
20183584,메가로돈,501530
20187657,마일22,38309
20187641,극장판 도라에몽: 진구의 보물섬,115174
20186501,극장판 헬로카봇 : 백악기 시대,842475
20183361,인크레더블 2,2988996
20186121,어느 가족,119311
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,662781
20170942,인랑,884607
20179044,더 스퀘어,5189
20180522,앤트맨과 와스프,5443819
